Salary,Name,POS,Bats,Throws,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2505000.00,Chris Coghlan,OF,L,,Cubs,148,503,16,64,41,11,11.50%,18.70%,0.193,0.284,0.25,0.341,0.443,0.337,113,3.2,10.9,4.2,3.3,6878
2640000.00,Mike Moustakas,3B,L,,Royals,147,614,22,73,82,1,7.00%,12.40%,0.186,0.294,0.284,0.348,0.47,0.353,124,-5.4,11.5,3.7,3.8,4892
2687500.00,Jose Altuve,2B,R,,Astros,154,689,15,86,66,38,4.80%,9.70%,0.146,0.329,0.313,0.353,0.459,0.347,120,-3.7,12.4,5.4,4.3,5417
2725000.00,Lorenzo Cain,OF,R,,Royals,140,604,16,101,72,28,6.10%,16.20%,0.171,0.347,0.307,0.361,0.477,0.36,129,6.2,26.2,15.7,6.6,9077
3000000.00,J.D. Martinez,OF,R,,Tigers,158,657,38,93,102,3,8.10%,27.10%,0.253,0.339,0.282,0.344,0.535,0.372,137,-2.2,25.7,-0.1,5,6184
3083333.00,Paul Goldschmidt,1B,R,,Diamondbacks,159,695,33,103,110,21,17.00%,21.70%,0.249,0.382,0.321,0.435,0.57,0.418,164,3.1,55,-6.9,7.4,9218
3100000.00,Antonio Bastardo,Reliever,,L,Pirates,,,,,,,,,,,,,,,,,,,0.6,
3142857.00,Andrelton Simmons,SS,R,,Braves,147,583,4,60,44,5,6.70%,8.20%,0.073,0.285,0.265,0.321,0.338,0.29,82,0.6,-11.7,23.9,3.2,10847
3175000.00,Brandon Crawford,SS,L,,Giants,143,561,21,65,84,6,7.00%,21.20%,0.205,0.294,0.256,0.321,0.462,0.332,117,-1.4,9.5,17.1,4.7,5343
3200000.00,Zach Britton,Closer,,L,Orioles,,,,,,,,,,,,,,,,,,,2.1,
3600000.00,Brandon Belt,1B,L,,Giants,137,556,18,73,68,9,10.10%,26.40%,0.197,0.363,0.28,0.356,0.478,0.359,135,1.5,24.3,-1.2,4.3,10264
3630000.00,Jake Arrieta,SP,,R,,,,,,,,,,,,,,,,,,,,7.3,
3666666.00,Wade Miley,SP,,L,,,,,,,,,,,,,,,,,,,,2.6,
3750000.00,Matt Carpenter,3B,L,,Cardinals,154,665,28,101,84,4,12.20%,22.70%,0.233,0.321,0.272,0.365,0.505,0.372,139,1.5,31.6,-3.5,5.2,8090
3750000.00,Todd Frazier,3B,R,,Reds,157,678,35,82,89,13,6.50%,20.20%,0.242,0.271,0.255,0.309,0.498,0.342,114,-0.6,10.7,9.6,4.4,785
4000000.00,Colby Lewis,SP,,R,,,,,,,,,,,,,,,,,,,,2.6,
4100000.00,Josh Reddick,OF,L,,Athletics,149,582,20,67,77,10,8.40%,11.20%,0.177,0.278,0.272,0.333,0.449,0.338,117,5.1,16.6,-8,3,3892
4100000.00,Ben Revere,OF,L,,- - -,152,634,2,84,45,31,5.00%,10.10%,0.071,0.338,0.306,0.342,0.377,0.316,98,8,6.2,-8.7,1.9,4712
4166666.00,Jason Kipnis,2B,L,,Indians,141,641,9,86,52,12,8.90%,16.70%,0.149,0.356,0.303,0.372,0.451,0.355,126,3.4,23,4.5,5.2,9776
4300000.00,Josh Donaldson,3B,R,,Blue Jays,158,711,41,122,123,6,10.30%,18.70%,0.271,0.314,0.297,0.371,0.568,0.398,154,4,48.3,10.7,8.7,5038
4315000.00,Chris Tillman,SP,,R,,,,,,,,,,,,,,,,,,,,1.9,
4500000.00,Kyle Seager,3B,L,,Mariners,161,686,26,85,74,6,7.90%,14.30%,0.185,0.278,0.266,0.328,0.451,0.335,116,-3,9.4,5,3.9,9785
4750000.00,Wei-Yin Chen,SP,,L,,,,,,,,,,,,,,,,,,,,2.8,
5250000.00,Tyson Ross,SP,,R,,,,,,,,,,,,,,,,,,,,4.4,
5285714.00,Anthony Rizzo,1B,L,,Cubs,160,701,31,94,101,17,11.10%,15.00%,0.234,0.289,0.278,0.387,0.512,0.384,145,1.9,38.6,-8.9,5.5,3473
5400000.00,Mark Melancon,Closer,,R,Pirates,,,,,,,,,,,,,,,,,,,1.5,
5650000.00,Eric Hosmer,1B,L,,Royals,158,667,18,98,93,7,9.10%,16.20%,0.162,0.336,0.297,0.363,0.459,0.355,125,3.1,22.1,-11,3.5,3516
