round,boxer,punch_type,outcome,mayweather,pacquiao,jab,power,landed,missed
12,Mayweather,power,landed,1,0,0,1,1,0
12,Mayweather,power,landed,1,0,0,1,1,0
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,power,missed,1,0,0,1,0,1
1,Pacquiao,jab,landed,0,1,1,0,1,0
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,jab,missed,0,1,1,0,0,1
1,Pacquiao,power,landed,0,1,0,1,1,0
1,Pacquiao,power,landed,0,1,0,1,1,0
1,Pacquiao,power,missed,0,1,0,1,0,1
1,Pacquiao,power,missed,0,1,0,1,0,1
1,Pacquiao,power,missed,0,1,0,1,0,1
1,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,jab,missed,0,1,1,0,0,1
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,landed,0,1,0,1,1,0
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
2,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,jab,landed,0,1,1,0,1,0
3,Pacquiao,jab,landed,0,1,1,0,1,0
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,jab,missed,0,1,1,0,0,1
3,Pacquiao,power,landed,0,1,0,1,1,0
3,Pacquiao,power,landed,0,1,0,1,1,0
3,Pacquiao,power,landed,0,1,0,1,1,0
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
3,Pacquiao,power,missed,0,1,0,1,0,1
